,Method,Featureamount,Best parameters,Re-Scaled,Accuracy,Precision 0,Precision 1,Recall 0,Recall 1,f1 score 0,f1 score 1,support 0,support 1,TNR,FPR,FNR,TPR,WSVC
83,Sparse Autoencoder,3,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
84,Sparse Autoencoder,3,1,1,0.6804541768045418,0.8529574350469873,0.2054794520547945,0.7472154963680387,0.33665835411471323,0.7965926690758904,0.2551984877126654,2065,401,1543,522,266,135,1.0
85,Sparse Autoencoder,4,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
86,Sparse Autoencoder,4,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
87,Sparse Autoencoder,4,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
88,Sparse Autoencoder,4,1,1,0.5506893755068938,0.8611320754716981,0.1901840490797546,0.5525423728813559,0.5411471321695761,0.6731563421828908,0.2814526588845655,2065,401,1141,924,184,217,1.0
89,Sparse Autoencoder,5,0,0,0.8381995133819952,0.8380681818181818,1.0,1.0,0.004987531172069825,0.9119010819165378,0.009925558312655087,2065,401,2065,0,399,2,0.0
90,Sparse Autoencoder,5,0,1,0.8381995133819952,0.8380681818181818,1.0,1.0,0.004987531172069825,0.9119010819165378,0.009925558312655087,2065,401,2065,0,399,2,0.0
91,Sparse Autoencoder,5,1,1,0.8548256285482563,0.8537090758392043,0.9056603773584906,0.9975786924939467,0.11970074812967581,0.9200535953550693,0.21145374449339205,2065,401,2060,5,353,48,0.0
92,Sparse Autoencoder,5,1,1,0.6873479318734793,0.9110546378653113,0.29260089686098656,0.6944309927360774,0.6508728179551122,0.7881286067600989,0.4037122969837587,2065,401,1434,631,140,261,1.0
93,Sparse Autoencoder,6,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
94,Sparse Autoencoder,6,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
95,Sparse Autoencoder,6,1,1,0.8467153284671532,0.8464065708418891,0.8709677419354839,0.9980629539951574,0.06733167082294264,0.916,0.12499999999999999,2065,401,2061,4,374,27,0.0
96,Sparse Autoencoder,6,1,1,0.7696674776966748,0.8996262680192205,0.3591905564924115,0.8159806295399515,0.5311720698254364,0.8557643473844591,0.42857142857142855,2065,401,1685,380,188,213,1.0
97,Sparse Autoencoder,7,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
98,Sparse Autoencoder,7,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
99,Sparse Autoencoder,7,1,1,0.8381995133819952,0.8380681818181818,1.0,1.0,0.004987531172069825,0.9119010819165378,0.009925558312655087,2065,401,2065,0,399,2,0.0
100,Sparse Autoencoder,7,1,1,0.7980535279805353,0.8842569887199607,0.3864168618266979,0.8731234866828087,0.4114713216957606,0.8786549707602339,0.3985507246376812,2065,401,1803,262,236,165,1.0
101,Sparse Autoencoder,8,0,0,0.8523925385239254,0.8513011152416357,0.9111111111111111,0.9980629539951574,0.10224438902743142,0.9188586714222023,0.18385650224215244,2065,401,2061,4,360,41,0.0
102,Sparse Autoencoder,8,0,1,0.8523925385239254,0.8513011152416357,0.9111111111111111,0.9980629539951574,0.10224438902743142,0.9188586714222023,0.18385650224215244,2065,401,2061,4,360,41,0.0
103,Sparse Autoencoder,8,1,1,0.8661800486618005,0.8693060876968923,0.8034188034188035,0.988861985472155,0.2344139650872818,0.9252378794743997,0.3629343629343629,2065,401,2042,23,307,94,0.0
104,Sparse Autoencoder,8,1,1,0.8219789132197891,0.9097782258064516,0.4605809128630705,0.87409200968523,0.5536159600997507,0.8915781674487528,0.5028312570781427,2065,401,1805,260,179,222,1.0
105,Sparse Autoencoder,9,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
106,Sparse Autoencoder,9,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
107,Sparse Autoencoder,9,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
108,Sparse Autoencoder,9,1,1,0.6841038118410381,0.8988833746898263,0.2786885245901639,0.7016949152542373,0.5935162094763092,0.7881425074789231,0.37928286852589643,2065,401,1449,616,163,238,1.0
109,Sparse Autoencoder,10,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
110,Sparse Autoencoder,10,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
111,Sparse Autoencoder,10,1,1,0.8369829683698297,0.8373225152129817,0.0,0.9995157384987894,0.0,0.9112582781456954,0.0,2065,401,2064,1,401,0,0.0
112,Sparse Autoencoder,10,1,1,0.5705596107055961,0.8623919308357348,0.19480519480519481,0.5796610169491525,0.5236907730673317,0.6933101650738488,0.283975659229209,2065,401,1197,868,191,210,1.0
113,2DConvolutional Autoencoder,1,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
114,2DConvolutional Autoencoder,1,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
115,2DConvolutional Autoencoder,1,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
116,2DConvolutional Autoencoder,1,1,1,0.7996755879967559,0.837559088955737,0.16546762589928057,0.9438256658595642,0.057356608478802994,0.8875227686703098,0.08518518518518518,2065,401,1949,116,378,23,1.0
117,1DConvolutional Autoencoder,1,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
118,1DConvolutional Autoencoder,1,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
119,1DConvolutional Autoencoder,1,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
